Date,Symbol,CorporateAction,Value,MarketCap
2024-01-19 00:00:00+05:30,TCS.NS,Dividend,9.0,11423033851904
2024-05-16 00:00:00+05:30,TCS.NS,Dividend,28.0,11423033851904
2024-07-19 00:00:00+05:30,TCS.NS,Dividend,10.0,11423033851904
2024-10-18 00:00:00+05:30,TCS.NS,Dividend,10.0,11423033851904
2025-01-17 00:00:00+05:30,TCS.NS,Dividend,10.0,11423033851904
2025-06-04 00:00:00+05:30,TCS.NS,Dividend,30.0,11423033851904
2025-07-16 00:00:00+05:30,TCS.NS,Dividend,11.0,11423033851904
2024-05-31 00:00:00+05:30,INFY.NS,Dividend,20.0,6340604854272
2024-10-29 00:00:00+05:30,INFY.NS,Dividend,21.0,6340604854272
2025-05-30 00:00:00+05:30,INFY.NS,Dividend,22.0,6340604854272
2024-05-10 00:00:00+05:30,HDFCBANK.NS,Dividend,9.75,14945584414720
2025-06-27 00:00:00+05:30,HDFCBANK.NS,Dividend,11.0,14945584414720
2024-06-14 00:00:00+05:30,BAJAJ-AUTO.NS,Dividend,80.0,2426623492096
2025-06-20 00:00:00+05:30,BAJAJ-AUTO.NS,Dividend,210.0,2426623492096
2024-06-21 00:00:00+05:30,TATASTEEL.NS,Dividend,3.6,1933503102976
2025-06-06 00:00:00+05:30,TATASTEEL.NS,Dividend,3.6,1933503102976
2024-02-08 00:00:00+05:30,ITC.NS,Dividend,6.25,5052644196352
2024-06-04 00:00:00+05:30,ITC.NS,Dividend,7.5,5052644196352
2025-02-12 00:00:00+05:30,ITC.NS,Dividend,6.5,5052644196352
2025-05-28 00:00:00+05:30,ITC.NS,Dividend,7.85,5052644196352
2024-03-15 00:00:00+05:30,SBILIFE.NS,Dividend,2.7,1821395779584
2025-03-07 00:00:00+05:30,SBILIFE.NS,Dividend,2.7,1821395779584
2024-06-21 00:00:00+05:30,HDFCLIFE.NS,Dividend,2.0,1673922478080
2025-06-20 00:00:00+05:30,HDFCLIFE.NS,Dividend,2.1,1673922478080
2024-07-04 00:00:00+05:30,TATAPOWER.NS,Dividend,2.0,1207039688704
2025-06-20 00:00:00+05:30,TATAPOWER.NS,Dividend,2.25,1207039688704
2024-08-12 00:00:00+05:30,ICICIBANK.NS,Dividend,10.0,10115728015360
2025-08-12 00:00:00+05:30,ICICIBANK.NS,Dividend,11.0,10115728015360
2024-07-19 00:00:00+05:30,KOTAKBANK.NS,Dividend,2.0,3908440424448
2025-07-18 00:00:00+05:30,KOTAKBANK.NS,Dividend,2.5,3908440424448
2024-07-12 00:00:00+05:30,AXISBANK.NS,Dividend,1.0,3257914097664
2025-07-04 00:00:00+05:30,AXISBANK.NS,Dividend,1.0,3257914097664
2024-06-28 00:00:00+05:30,INDUSINDBK.NS,Dividend,16.5,589293092864
2024-05-22 00:00:00+05:30,SBIN.NS,Dividend,13.7,7456956088320
2025-05-16 00:00:00+05:30,SBIN.NS,Dividend,15.9,7456956088320
